RIC,YearMonth,TotalAdjNbSharesHeld,ETFHoldings,Date,Volatility,Date.1,AmihudRatio,Date.2,Bid,Ask,PctBidAskSpread,RetPast12to1M,Date.3,GrossProfit,TotalAssetsReported,GrossProfitability,Date.4,Close,CompanyMarketCap,PriceToBVPerShare
AI.N,2010-01-01,4589627.0,0.6072541677692511,2010-01-31,0.02036176576657112,2010-01-31,1.9805490930597948e-07,2010-01-25,15.02,15.08,0.003986710963455182,3.2305555555555565,2010-01-25,-298088000.0,1560291000.0,-0.1910464137779427,2010-01-25,15.02,119575178.6,0.8730890790000001
GEVO.OQ,2012-05-01,2302.0,0.6026178010471204,2012-05-31,0.0539925176614834,2012-05-31,1.534703749306317e-07,2012-05-31,36360.0,36420.0,0.0016488046166529267,-0.4974066390041494,2012-05-31,3961000.0,133030000.0,0.02977523866796963,2012-05-31,36420.0,162426668.68,2.10383898
ARR.N,2012-02-01,427570.0,0.5842556912902079,2012-02-29,0.006650770650727907,2012-02-29,8.796675976247063e-10,2012-02-28,56.48,56.56,0.0014154281670206196,-0.02303523035230352,2012-02-28,8068950.0,1209223950.0,0.006672833431722883,2012-02-28,56.48,982895896.92,1.041288158
ARR.N,2012-01-01,427570.0,0.5842556912902079,2012-01-31,0.0062576295663861825,2012-01-31,2.0232280372836297e-09,2012-01-31,57.52,57.6,0.0013898540653231113,-0.09846547314578012,2012-01-31,8068950.0,1209223950.0,0.006672833431722883,2012-01-31,57.68,788199954.22,1.063411844
GEVO.OQ,2014-02-01,3106.0,0.5709558823529411,2014-02-28,0.03418143885847925,2014-02-28,1.973868742015136e-07,2014-02-28,8100.0,8160.0,0.007380073800738006,-0.3005050505050505,2014-02-28,-8025000.0,156111000.0,-0.0514057305378865,2014-02-28,8160.0,89341047.92,0.990343252
TNDM.OQ,2018-12-01,3232549.0,0.5694114849392284,2018-12-31,0.04844861596484135,2018-12-31,2.433486139576071e-09,2018-12-31,37.95,37.96,0.00026346989856403655,14.60169491525424,2018-12-31,44094000.0,95346000.0,0.4624630293877037,2018-12-31,37.97,2178311675.5099893,18.869704147099
GEVO.OQ,2014-01-01,3055.0,0.5615808823529411,2014-01-31,0.03162531368146485,2014-01-31,1.0244311226685737e-07,2014-01-31,8280.0,8340.0,0.007220216606498195,-0.3782608695652174,2014-01-31,-8025000.0,156111000.0,-0.0514057305378865,2014-01-31,8310.0,90983346.595,1.008548091
TNDM.OQ,2018-11-01,3141470.0,0.553367976043685,2018-11-30,0.06386275753372872,2018-11-30,2.8066889877623e-09,2018-11-30,36.81,36.82,0.000271628412331876,13.086142322097375,2018-11-30,44094000.0,95346000.0,0.4624630293877037,2018-11-30,36.82,2112337000.06,18.298196121
GEVO.OQ,2014-03-01,3917.0,0.5215712383488682,2014-03-31,0.02857938005631592,2014-03-31,1.3232917322847016e-07,2014-03-31,7020.0,7140.0,0.01694915254237288,-0.39285714285714296,2014-03-31,-9689000.0,116355000.0,-0.08327102402131409,2014-03-31,7020.0,80195414.13,0.851986474
TNDM.OQ,2018-10-01,2942587.0,0.5183348599612472,2018-10-31,0.05135757664179817,2018-10-31,1.8025396191186025e-09,2018-10-31,37.58,37.6,0.0005320563979782689,16.344129554655872,2018-10-31,44094000.0,95346000.0,0.4624630293877037,2018-10-31,37.61,2157658733.63,76.920802148
GEVO.OQ,2014-04-01,3828.0,0.5097203728362184,2014-04-30,0.09992259242423383,2014-04-30,2.846627177878599e-07,2014-04-30,6180.0,6240.0,0.00966183574879227,-0.36585365853658536,2014-04-30,-9689000.0,116355000.0,-0.08327102402131409,2014-04-30,6180.0,70923965.57,0.993501937
GEVO.OQ,2014-06-01,3734.0,0.4972037283621837,2014-06-30,0.029915517783757593,2014-06-30,3.223203191969972e-07,2014-06-30,5220.0,5340.0,0.022727272727272728,-0.5457635467980294,2014-06-30,-9689000.0,116355000.0,-0.08327102402131409,2014-06-30,5160.0,59218068.3399999,0.985112752
GEVO.OQ,2014-07-01,3722.0,0.4956058588548602,2014-07-31,0.08721881127033616,2014-07-31,8.439798862336345e-07,2014-07-31,3064.8,3072.0,0.0023464998044582896,-0.532608695652174,2014-07-31,-9689000.0,116355000.0,-0.08327102402131409,2014-07-31,3063.0,35473671.9869999,0.584767511
TNDM.OQ,2018-09-01,2775606.0,0.4889212612295226,2018-09-30,0.058928650527819135,2018-09-30,7.206835259091687e-10,2018-09-24,38.56,38.57,0.00025930247633859746,5.258904109589041,2018-09-24,44094000.0,95346000.0,0.4624630293877037,2018-09-24,38.57,2428797049.56,87.61731358799999
