Index,CUSIP,ISIN,OAPermID,RIC,SEDOL,LipperID,Ticker
MAAJ.BO,,INE403N01029,5000074597,MAAJ.BO,BJ0HCS5,,511082
OILI.NS,,INE274J01014,4296617304,OILI.NS,,,OIL
ZECL.BO,,INE132N01016,4297749260,ZECL.BO,6116149,,508900
SHAH.BO,,INE455D01012,4296212835,SHAH.BO,6410186,,519031
SQSI.NS,,INE201K01015,4297766628,,B4KFSX1,,EXPLEOSOL
SURC.BO,,INE401F01037,5000069273,SURC.BO,B9HLTM3,,512311
SVAR.BO,,INE406N01014,5000444926,SVAR.BO,B730FW2,,503624
GROM.BO,,INE286N01010,5000729686,GROM.BO,B6WVKM4,,501314
STWH.NS,,INE802C01017,4295872393,STWH.NS,,,SSWL
300001.SZ,,CNE100000H69,5000431838,300001.SZ,B4MNP10,,300001
300003.SZ,,CNE100000H44,5000432129,300003.SZ,B4MQG05,,300003
300006.SZ,,CNE100000H10,5000364567,300006.SZ,B4JQ6D1,,300006
300007.SZ,,CNE100000H02,5000367892,300007.SZ,B4JQ761,,300007
300009.SZ,,CNE100000GY2,4296976195,300009.SZ,B4N4Y60,,300009
300010.SZ,,CNE100000GX4,5000431073,300010.SZ,B4N52D6,,300010
300011.SZ,,CNE100000GW6,5000465319,300011.SZ,B4SZ004,,300011
300012.SZ,,CNE100000GV8,5000458946,300012.SZ,B4VM756,,300012
300013.SZ,,CNE100000GT2,5000467437,300013.SZ,B4RHTJ3,,300013
300014.SZ,,CNE100000GS4,5000437235,300014.SZ,B4TSW28,,300014
300015.SZ,,CNE100000GR6,5000436413,300015.SZ,B4W4ZY6,,300015
300016.SZ,,CNE000001QK9,4298068041,300016.SZ,B4T0826,,300016
300017.SZ,,CNE100000GQ8,5000457320,300017.SZ,B4RHV31,,300017
300019.SZ,,CNE100000GN5,5000437336,300019.SZ,B4TSYL1,,300019
300021.SZ,,CNE100000GL9,5000445954,300021.SZ,B4T9SC3,,300021
300023.SZ,,CNE100000GJ3,5000446004,300023.SZ,B4VVN88,,300023
300024.SZ,,CNE100000GH7,5000433273,300024.SZ,B4W6RJ1,,300024
CORF.NS,,INE169A01031,4295873145,CORF.NS,,,COROMANDEL
002299.SZ,,CNE100000G78,5000374642,002299.SZ,B4L9T62,,2299
002300.SZ,,CNE100000G86,5000465323,002300.SZ,B4MNNL6,,2300
002301.SZ,,CNE100000G94,5000436363,002301.SZ,B4S5HY7,,2301
601888.SS,,CNE100000G29,4296761804,601888.SS,B42G7J1,,601888
002302.SZ,,CNE100000H77,5000457886,002302.SZ,B54LHS0,,2302
OSXB3.SA,,BROSXBACNOR8,4297931417,OSXB3.SA,B24C6X0,,OSXB3
002304.SZ,,CNE100000HB8,5000462739,002304.SZ,B55JM22,,2304
002307.SZ,,CNE100000HH5,5000471506,002307.SZ,B593GH3,,2307
300020.SZ,,CNE100000GM7,4298142882,300020.SZ,B4VJ3S2,,300020
AJAN.NS,,INE098F01031,4295873841,AJAN.NS,,,AMRUTANJAN
ENET.NS,,INE033C01019,4295872167,ENET.NS,,,ELNET
NLMK.MM,,RU0009046452,4295887048,NLMK.MM,B59FPC7,,NLMK
RKKE.MM,,RU0009095939,4296686685,RKKE.MM,B59JF63,,RKKE
002309.SZ,,CNE100000HM5,4298347615,002309.SZ,B597W55,,2309
IGAM.NS,,INE188B01013,4295872655,IGAM.NS,,,IGARASHI
SUNT.NS,,INE805D01034,4295872307,SUNT.NS,,,SUNTECK
ZYDS.NS,,INE768C01010,4295873634,ZYDS.NS,,,ZYDUSWELL
002310.SZ,,CNE100000HN3,5000494870,002310.SZ,B5B4NF1,,2310
002311.SZ,,CNE100000HP8,5000442655,002311.SZ,B597PH8,,2311
600999.SS,,CNE100000HK9,5000004477,600999.SS,B59QNS2,,600999
ATOA.NS,,INE449A01011,4295872776,ATOA.NS,,,AUTOAXLES
ASGI.NS,,INE022I01019,4295874127,ASGI.NS,,,ASIANTILES
ARAI.NS,,INE298I01015,4295874205,ARAI.NS,B23CDZ2,,ARIES
ALPI.NS,,INE137C01018,4295873090,ALPI.NS,,,ALPHAGEO
